invalid 无效的
operands 操作数，操作对象
contempt 鄙视，轻视
vibrate 颤动，震动
incompatible 不相容的，矛盾的
reference_to 提及，参考
undefined 未定义的，不明确的
implicit 未言明的，不明确的
interger 整数，整体
trigger 起因，诱因
deterioration 恶化，退化
dismiss 开除
unsanitary 不卫生的
only_if 只要……就
upgrade 升级，提高
component 组成部分
invoke 调用，激活
thereby 因此
mute 把……静音
exceed 超过
torrent 洪流
fertile 肥沃的
collision 冲突，碰撞
tribe 部落
brisk 轻快的
intensive 加强的
insufficient 不足的
rotten 腐烂的,腐朽的
humid 多湿气的
alphabet 字母表
haste 匆忙
margin 空白，边缘
glitter 闪耀，闪光
correspondent 记者
joint 关节，结合处
stern 严厉的
flourish 繁荣，兴旺
radical 根本的
philosopher 哲学家
murderer 杀人犯
curse 诅咒
readily  欣然地，容易地
submerge 淹没
tremendous 巨大的
sparkle 闪耀的
hatred 讨厌的
deed 行为
civilize 教育
rifle 步枪
succession 一连串，连续
geometry 几何学
oppress 压迫
convert 转换，使转变
binary 数组
decimal 十进制的
humiliating 丢脸的
liberate 解放
nonetheless 然而，不过
dedicated 专心致志的
moderately 适度的
syntatic 语法
semester 学期
deduce 推断，推论
diameter 直径
denomination 分母
landlord 房东，地主
distinction 优秀，杰出
monument 纪念碑
hollow 空心的
puff 喷出
precaution 预防措施
manual 手工的，说明书
weapon 武器
solely 单独地
bittle 易碎的
exculsively 专门地
revolt 反抗
distress 痛苦，悲伤
merchant 商人
domestic 国产的
density 密度
brook 小溪
graceful 优雅的
scatter 分散，撒开
hasty 匆忙的
oblige 迫使
assembly 集会，集合
naval 海军的
prosperous 富裕的
scrath 抓痕，擦伤
refute 驳斥


